period,tfp_growth_geometric_pct_per_year,source_note
1869-1879,0.31,"David 1989 Table 2, Kendrick-based TFP growth, geometric weighting"
1879-1889,1.23,"David 1989 Table 2, Kendrick-based TFP growth, geometric weighting"
1889-1899,0.86,"David 1989 Table 2, Kendrick-based TFP growth, geometric weighting"
1899-1909,0.50,"David 1989 Table 2, Kendrick-based TFP growth, geometric weighting"
1909-1919,0.17,"David 1989 Table 2, Kendrick-based TFP growth, geometric weighting"
1919-1929,5.29,"David 1989 Table 2, Kendrick-based TFP growth, geometric weighting"
1929-1937,1.96,"David 1989 Table 2, Kendrick-based TFP growth, geometric weighting"
1937-1948,1.56,"David 1989 Table 2, Kendrick-based TFP growth, geometric weighting"
